22.01.2025 23:41:00 [Dayz-Dog] 'DayzDog.json' does not exist, creating default config
23.01.2025 22:50:13 [Dayz-Dog] Spawned Wild Dog at <14793.615234, 81.935188, 14543.422852>
23.01.2025 22:50:13 [Dayz-Dog] Spawned Wild Dog at <14809.465820, 88.030945, 14521.448242>
23.01.2025 22:50:13 [Dayz-Dog] Spawned Wild Dog at <14799.185547, 76.719032, 14559.788086>
23.01.2025 22:50:13 [Dayz-Dog] Spawned Wild Dog at <14805.739258, 80.656822, 14541.037109>
23.01.2025 23:59:35 [Dayz-Dog] 'DayzDog.json' found, loading existing config
24.01.2025 00:00:27 [Dayz-Dog] Spawned Wild Dog at <4520.624023, 316.382507, 8286.092773>
24.01.2025 00:00:27 [Dayz-Dog] Spawned Wild Dog at <5620.729492, 166.390564, 12706.346680>
24.01.2025 00:00:27 [Dayz-Dog] Spawned Wild Dog at <5630.097656, 164.907303, 12685.443359>
24.01.2025 00:00:27 [Dayz-Dog] Spawned Wild Dog at <7030.933594, 190.707764, 4293.609863>
24.01.2025 00:00:27 [Dayz-Dog] Spawned Wild Dog at <7034.510254, 190.062775, 4317.084961>
24.01.2025 00:00:27 [Dayz-Dog] Spawned Wild Dog at <7051.200195, 193.202942, 4292.915039>
24.01.2025 00:00:27 [Dayz-Dog] Spawned Wild Dog at <9488.573242, 304.277527, 8926.046875>
24.01.2025 00:00:27 [Dayz-Dog] Spawned Wild Dog at <9474.490234, 304.019043, 8922.055664>
24.01.2025 00:00:27 [Dayz-Dog] Spawned Wild Dog at <9504.695313, 306.480194, 8935.890625>
24.01.2025 00:02:54 [Dayz-Dog] 'DayzDog.json' found, loading existing config
24.01.2025 00:03:52 [Dayz-Dog] Spawned Wild Dog at <10194.952148, 6.065748, 2105.481689>
24.01.2025 00:03:52 [Dayz-Dog] Spawned Wild Dog at <10181.591797, 6.070535, 2091.247314>
24.01.2025 00:03:52 [Dayz-Dog] Spawned Wild Dog at <10216.615234, 5.961311, 2128.016357>
24.01.2025 00:03:52 [Dayz-Dog] Spawned Wild Dog at <4827.340820, 339.000000, 10303.806641>
24.01.2025 00:03:52 [Dayz-Dog] Spawned Wild Dog at <4813.890137, 339.019440, 10306.796875>
24.01.2025 00:03:52 [Dayz-Dog] Spawned Wild Dog at <4813.170410, 339.020203, 10305.333008>
24.01.2025 00:03:52 [Dayz-Dog] Spawned Wild Dog at <11356.719727, 61.630684, 14969.404297>
24.01.2025 00:03:52 [Dayz-Dog] Spawned Wild Dog at <11368.265625, 63.251186, 14984.104492>
24.01.2025 00:03:52 [Dayz-Dog] Spawned Wild Dog at <8102.838379, 459.730530, 9280.636719>
24.01.2025 00:03:52 [Dayz-Dog] Spawned Wild Dog at <8123.164063, 461.397980, 9268.866211>
24.01.2025 00:03:52 [Dayz-Dog] Spawned Wild Dog at <8121.605469, 459.649597, 9281.009766>
24.01.2025 00:03:52 [Dayz-Dog] Spawned Wild Dog at <1061.973267, 4.216581, 2417.523438>
24.01.2025 00:03:52 [Dayz-Dog] Spawned Wild Dog at <1085.697144, 4.398966, 2429.780029>
24.01.2025 00:03:52 [Dayz-Dog] Spawned Wild Dog at <1060.691406, 5.385308, 2394.586182>
24.01.2025 00:03:52 [Dayz-Dog] Spawned Wild Dog at <3715.127686, 191.385132, 12926.298828>
24.01.2025 00:03:52 [Dayz-Dog] Spawned Wild Dog at <3696.598145, 192.549927, 12911.682617>
24.01.2025 00:03:52 [Dayz-Dog] Spawned Wild Dog at <3728.389160, 192.185745, 12910.796875>
24.01.2025 00:03:52 [Dayz-Dog] Spawned Wild Dog at <3701.489502, 192.313293, 12916.727539>
24.01.2025 00:03:52 [Dayz-Dog] Spawned Wild Dog at <2658.457520, 9.448242, 1277.547852>
24.01.2025 00:09:31 [Dayz-Dog] 'DayzDog.json' found, loading existing config
24.01.2025 00:10:21 [Dayz-Dog] Spawned Wild Dog at <14086.110352, 6.769904, 13084.681641>
24.01.2025 00:10:21 [Dayz-Dog] Spawned Wild Dog at <14097.357422, 4.602969, 13074.291016>
24.01.2025 00:10:21 [Dayz-Dog] Spawned Wild Dog at <14093.006836, 6.279069, 13096.628906>
24.01.2025 00:10:21 [Dayz-Dog] Spawned Wild Dog at <1193.413086, 6.452953, 2361.574951>
24.01.2025 00:10:21 [Dayz-Dog] Spawned Wild Dog at <1189.148804, 6.320440, 2376.110107>
24.01.2025 00:10:21 [Dayz-Dog] Spawned Wild Dog at <4216.803711, 338.500000, 11035.611328>
24.01.2025 00:10:21 [Dayz-Dog] Spawned Wild Dog at <4235.408691, 338.500000, 11057.294922>
24.01.2025 00:10:21 [Dayz-Dog] Spawned Wild Dog at <4203.944824, 338.500000, 11031.068359>
24.01.2025 00:10:21 [Dayz-Dog] Spawned Wild Dog at <4204.081055, 338.500000, 11049.667969>
24.01.2025 00:10:21 [Dayz-Dog] Spawned Wild Dog at <4214.834961, 338.400024, 11013.212891>
24.01.2025 00:10:21 [Dayz-Dog] Spawned Wild Dog at <8319.427734, 288.872070, 5884.863770>
24.01.2025 00:10:21 [Dayz-Dog] Spawned Wild Dog at <8318.833984, 286.884430, 5862.577637>
24.01.2025 00:10:21 [Dayz-Dog] Spawned Wild Dog at <8330.245117, 289.392609, 5888.866699>
24.01.2025 00:10:21 [Dayz-Dog] Spawned Wild Dog at <8304.575195, 288.560272, 5885.123535>
24.01.2025 00:19:22 [Dayz-Dog] 'DayzDog.json' found, loading existing config
24.01.2025 00:20:53 [Dayz-Dog] Spawned Wild Dog at <8096.393555, 6.536434, 3189.395508>
24.01.2025 00:20:53 [Dayz-Dog] Spawned Wild Dog at <8075.024902, 7.683819, 3167.546875>
24.01.2025 00:20:53 [Dayz-Dog] Spawned Wild Dog at <8080.570801, 7.285543, 3185.089355>
24.01.2025 00:20:53 [Dayz-Dog] Spawned Wild Dog at <4545.336426, 232.643066, 4514.681641>
24.01.2025 00:20:53 [Dayz-Dog] Spawned Wild Dog at <9741.521484, 299.100006, 8879.874023>
24.01.2025 00:20:53 [Dayz-Dog] Spawned Wild Dog at <9744.181641, 298.863373, 8873.383789>
24.01.2025 00:20:53 [Dayz-Dog] Spawned Wild Dog at <9730.495117, 299.079285, 8881.273438>
24.01.2025 00:20:53 [Dayz-Dog] Spawned Wild Dog at <7405.286133, 220.102341, 5064.450195>
24.01.2025 00:20:53 [Dayz-Dog] Spawned Wild Dog at <2618.638184, 304.223206, 6274.601074>
24.01.2025 00:20:53 [Dayz-Dog] Spawned Wild Dog at <2615.433838, 303.388672, 6266.328613>
24.01.2025 00:20:53 [Dayz-Dog] Spawned Wild Dog at <14226.791016, 4.509599, 12935.487305>
24.01.2025 00:20:53 [Dayz-Dog] Spawned Wild Dog at <14233.475586, 4.695313, 12926.393555>
24.01.2025 00:20:53 [Dayz-Dog] Spawned Wild Dog at <14237.556641, 4.620074, 12942.951172>
24.01.2025 00:20:53 [Dayz-Dog] Spawned Wild Dog at <2303.140625, 259.762817, 13056.359375>
24.01.2025 00:20:53 [Dayz-Dog] Spawned Wild Dog at <2298.233154, 260.818451, 13064.078125>
24.01.2025 00:20:53 [Dayz-Dog] Spawned Wild Dog at <2321.413574, 259.409912, 13075.790039>
24.01.2025 00:20:53 [Dayz-Dog] Spawned Wild Dog at <2289.948730, 262.305389, 13072.976563>
24.01.2025 00:20:53 [Dayz-Dog] Spawned Wild Dog at <3557.626221, 6.009878, 2263.808350>
24.01.2025 00:20:53 [Dayz-Dog] Spawned Wild Dog at <3546.108887, 6.050000, 2272.408203>
24.01.2025 00:20:53 [Dayz-Dog] Spawned Wild Dog at <12402.883789, 120.046158, 14820.332031>
24.01.2025 00:20:53 [Dayz-Dog] Spawned Wild Dog at <12412.850586, 121.672234, 14831.876953>
24.01.2025 00:20:53 [Dayz-Dog] Spawned Wild Dog at <12406.238281, 117.175331, 14799.557617>
24.01.2025 00:20:53 [Dayz-Dog] Spawned Wild Dog at <12389.859375, 120.440643, 14806.442383>
24.01.2025 00:20:53 [Dayz-Dog] Spawned Wild Dog at <12391.374023, 123.074989, 14837.350586>
24.01.2025 11:35:55 [Dayz-Dog] 'DayzDog.json' found, loading existing config
24.01.2025 11:37:07 [Dayz-Dog] Spawned Wild Dog at <10249.426758, 6.007229, 1908.197021>
24.01.2025 11:37:07 [Dayz-Dog] Spawned Wild Dog at <10232.928711, 6.021281, 1900.909912>
24.01.2025 11:37:07 [Dayz-Dog] Spawned Wild Dog at <10241.317383, 6.007229, 1920.902832>
24.01.2025 11:37:07 [Dayz-Dog] Spawned Wild Dog at <1990.910278, 257.998291, 7380.473145>
24.01.2025 11:37:07 [Dayz-Dog] Spawned Wild Dog at <1982.969849, 257.589233, 7376.093750>
24.01.2025 11:37:07 [Dayz-Dog] Spawned Wild Dog at <2000.250977, 257.590210, 7382.051270>
24.01.2025 11:37:07 [Dayz-Dog] Spawned Wild Dog at <9692.507813, 198.674881, 6617.072266>
24.01.2025 11:37:07 [Dayz-Dog] Spawned Wild Dog at <9703.063477, 201.063492, 6600.618652>
24.01.2025 11:37:07 [Dayz-Dog] Spawned Wild Dog at <9680.272461, 203.638855, 6597.365723>
24.01.2025 11:37:07 [Dayz-Dog] Spawned Wild Dog at <9691.029297, 202.366959, 6599.261719>
24.01.2025 11:37:07 [Dayz-Dog] Spawned Wild Dog at <6175.284180, 298.395813, 7624.615723>
24.01.2025 11:37:07 [Dayz-Dog] Spawned Wild Dog at <6168.860352, 298.446716, 7621.207031>
24.01.2025 11:37:07 [Dayz-Dog] Spawned Wild Dog at <7062.679199, 193.439285, 4281.680664>
24.01.2025 11:37:07 [Dayz-Dog] Spawned Wild Dog at <7053.899902, 193.898453, 4301.162109>
24.01.2025 11:37:07 [Dayz-Dog] Spawned Wild Dog at <7063.268555, 193.316086, 4298.685059>
24.01.2025 11:37:07 [Dayz-Dog] Spawned Wild Dog at <4547.534668, 294.662018, 11359.933594>
24.01.2025 11:37:07 [Dayz-Dog] Spawned Wild Dog at <4539.592285, 295.427277, 11344.588867>
24.01.2025 11:37:07 [Dayz-Dog] Spawned Wild Dog at <4525.683594, 295.929596, 11346.627930>
24.01.2025 11:37:07 [Dayz-Dog] Spawned Wild Dog at <8300.340820, 426.051788, 7609.934082>
24.01.2025 11:37:07 [Dayz-Dog] Spawned Wild Dog at <8298.683594, 425.716370, 7612.269531>
24.01.2025 11:37:07 [Dayz-Dog] Spawned Wild Dog at <8308.541016, 424.541412, 7606.412109>
24.01.2025 11:37:07 [Dayz-Dog] Spawned Wild Dog at <8315.976563, 420.986328, 7610.415039>
24.01.2025 11:37:07 [Dayz-Dog] Spawned Wild Dog at <12356.696289, 127.905327, 14813.785156>
24.01.2025 12:05:54 [Dayz-Dog] 'DayzDog.json' found, loading existing config
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <2703.606934, 204.389343, 5253.890137>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <2681.763428, 204.403366, 5264.690430>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <2715.063232, 199.963760, 5238.285156>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <2696.496094, 199.820282, 5232.982422>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <2715.775391, 200.037643, 5241.347656>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <4601.612305, 242.728668, 4565.046875>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <4590.656250, 236.200348, 4545.751465>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <4587.052734, 240.091751, 4565.489258>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <4584.057617, 236.045624, 4549.820313>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <10637.986328, 116.073975, 9716.115234>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <10625.128906, 119.143845, 9702.722656>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <10632.300781, 117.140488, 9710.029297>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <10649.506836, 114.408989, 9719.001953>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <1824.527100, 249.502701, 10797.848633>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <1845.487305, 248.676376, 10780.821289>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <1825.898804, 245.994965, 10820.957031>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <1815.637451, 249.737686, 10799.095703>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <1802.966553, 250.012833, 10809.937500>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <3998.835449, 311.792053, 8732.571289>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <2548.464600, 302.039734, 10937.540039>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <1581.366089, 272.906647, 12107.847656>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <1585.451660, 272.687683, 12096.755859>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <1559.808838, 274.037415, 12099.424805>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <1602.933228, 271.662811, 12093.698242>
24.01.2025 12:06:50 [Dayz-Dog] Spawned Wild Dog at <1575.168701, 273.247253, 12104.502930>
24.01.2025 12:09:51 [Dayz-Dog] 'DayzDog.json' found, loading existing config
24.01.2025 12:10:46 [Dayz-Dog] Spawned Wild Dog at <11366.576172, 158.260132, 10672.216797>
24.01.2025 12:10:46 [Dayz-Dog] Spawned Wild Dog at <8023.285645, 12.814697, 3428.782715>
24.01.2025 12:10:46 [Dayz-Dog] Spawned Wild Dog at <8040.870605, 18.746544, 3451.963623>
24.01.2025 12:10:46 [Dayz-Dog] Spawned Wild Dog at <6534.838867, 333.097748, 6237.997559>
24.01.2025 12:10:46 [Dayz-Dog] Spawned Wild Dog at <6556.450195, 339.421204, 6246.438477>
24.01.2025 12:10:46 [Dayz-Dog] Spawned Wild Dog at <6521.331055, 331.782501, 6242.668457>
24.01.2025 12:10:46 [Dayz-Dog] Spawned Wild Dog at <6581.710449, 321.871063, 6052.744141>
24.01.2025 12:10:46 [Dayz-Dog] Spawned Wild Dog at <6602.305664, 322.873901, 6074.573242>
24.01.2025 12:10:46 [Dayz-Dog] Spawned Wild Dog at <6602.787109, 322.851166, 6058.815430>
24.01.2025 12:10:46 [Dayz-Dog] Spawned Wild Dog at <6597.488770, 322.146271, 6070.727539>
24.01.2025 12:10:46 [Dayz-Dog] Spawned Wild Dog at <6563.460449, 321.500000, 6036.784180>
24.01.2025 12:13:30 [Dayz-Dog] 'DayzDog.json' found, loading existing config
24.01.2025 12:14:24 [Dayz-Dog] Spawned Wild Dog at <11309.854492, 73.336723, 6562.666016>
24.01.2025 12:14:24 [Dayz-Dog] Spawned Wild Dog at <11326.343750, 71.556717, 6539.631348>
24.01.2025 12:14:24 [Dayz-Dog] Spawned Wild Dog at <11298.569336, 74.086578, 6563.436035>
24.01.2025 12:14:24 [Dayz-Dog] Spawned Wild Dog at <11317.144531, 74.017563, 6578.194336>
24.01.2025 12:14:24 [Dayz-Dog] Spawned Wild Dog at <8464.026367, 297.996643, 6033.713867>
24.01.2025 12:14:24 [Dayz-Dog] Spawned Wild Dog at <8467.363281, 298.023041, 6036.861816>
24.01.2025 12:14:24 [Dayz-Dog] Spawned Wild Dog at <8485.282227, 294.996643, 6038.899414>
24.01.2025 12:14:24 [Dayz-Dog] Spawned Wild Dog at <8483.259766, 295.033569, 6037.061035>
24.01.2025 12:14:24 [Dayz-Dog] Spawned Wild Dog at <10347.751953, 6.805093, 2027.607422>
